user,location,time,failed_attempts,device
Arun,India,2026-09-20 09:00,0,Laptop
Arun,India,2026-09-20 09:10,1,Laptop
Arun,Russia,2026-09-20 09:12,15,Unknown
Arun,India,2026-09-20 15:00,0,Laptop
Priya,India,2026-09-20 10:00,0,Phone
Priya,India,2026-09-20 10:30,2,Phone
Priya,USA,2026-09-20 18:00,0,Phone
Rahul,USA,2026-09-20 03:00,8,Unknown
Rahul,USA,2026-09-20 03:01,5,Unknown
Karthik,India,2026-09-20 09:00,abc,Laptop
Karthik,India,2026-09-20 09:05,-2,Laptop
Meena,India,2026-09-20 09:00,0,Phone
Meena,India,2026-09-20 09:05,0,Unknown
Arun,India,,0,Laptop
Vijay,,2026-09-20 11:00,2,Phone
,,2026-09-20 12:00,0,Laptop
